"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"T459_00001" 1 0 0 1 0 0 0 0 0 0 0 2
"T459_00002" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00003" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00004" 0 0 1 0 0 0 1 0 0 0 0 2
"T459_00005" 0 0 0 0 0 2 1 1 0 0 1 0
"T459_00006" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00007" 0 0 0 0 0 0 6 0 0 0 0 0
"T459_00008" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00009" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00010" 3 6 5 7 5 5 41 19 13 59 28 72
"T459_00011" 26 25 17 28 24 29 43 60 41 44 38 55
"T459_00012" 0 1 1 3 3 2 1 5 2 0 3 1
"T459_00013" 311 329 312 260 254 403 466 409 357 589 611 687
"T459_00014" 55 40 74 3 0 1 2 4 1 4 2 2
"T459_00015" 36 37 28 30 53 78 63 50 55 86 41 53
"T459_00016" 349 415 354 539 476 723 438 450 407 346 249 292
"T459_00017" 160 141 190 105 108 128 113 123 107 203 278 377
"T459_00018" 1065 1161 1023 1601 1609 1393 2196 2380 1635 2251 1270 1238
"T459_00019" 298 297 190 104 71 70 19 25 20 13 15 13
"T459_00020" 296 242 230 503 478 548 676 651 634 873 380 483
"T459_00021" 146 156 152 199 202 227 285 283 258 307 251 236
"T459_00022" 51 33 55 31 24 29 76 77 75 359 463 278
"T459_00023" 0 1 0 7 16 7 2 3 4 0 0 0
"T459_00024" 10 11 17 1 2 4 0 0 0 0 0 0
"T459_00025" 52 47 37 44 51 44 55 74 50 80 49 58
"T459_00026" 84 64 67 52 55 49 81 84 88 139 130 132
"T459_00027" 71 93 47 7 5 7 0 1 12 0 0 0
"T459_00028" 3 3 8 2 0 2 2 2 3 0 2 0
"T459_00029" 21 33 17 13 17 16 0 0 0 1 0 0
"T459_00030" 11 9 2 1 1 0 0 0 0 0 0 0
"T459_00031" 287 370 247 780 877 606 513 801 568 7 10 9
"T459_00032" 0 1 0 0 0 0 0 0 0 1 0 0
"T459_00033" 0 0 1 5 3 3 4 7 5 14 1 2
"T459_00034" 198 302 155 134 90 88 145 184 171 122 135 114
"T459_00035" 3633 3963 4341 1319 1262 694 190 311 254 204 173 243
"T459_00036" 25 26 28 15 16 20 17 14 21 15 15 27
"T459_00037" 1 0 0 0 0 1 10 6 1 4 2 0
"T459_00038" 154 218 142 195 171 143 156 151 152 156 181 148
"T459_00039" 67 35 21 126 121 306 150 143 177 56 83 39
"T459_00040" 150 225 139 205 180 151 221 228 184 202 149 151
"T459_00041" 3 2 1 1 2 2 6 2 4 2 3 0
"T459_00042" 114 122 142 93 109 220 178 154 168 148 240 198
"T459_00043" 39 51 37 68 35 115 60 78 49 63 28 46
"T459_00044" 27 36 27 27 30 35 42 42 28 29 31 34
"T459_00045" 9 12 14 9 9 26 11 15 18 15 7 10
"T459_00046" 2 0 1 1 0 0 0 0 0 0 0 0
"T459_00047" 0 0 0 0 0 1 2 0 2 0 0 1
"T459_00048" 205 163 133 185 153 269 231 249 211 206 170 181
"T459_00049" 199 192 110 151 138 162 241 224 210 282 296 436
"T459_00050" 28 21 32 30 30 26 47 43 44 69 125 61
