"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "color"
"Solyc00g500062.1" 16.7574331950866 0.617444026116347 0.740110202643979 0.830851255498868 0.406057663235478 0.514448457272192 "black"
"Solyc00g500063.1" 1268.43403443298 0.887919505657947 0.254527102696432 3.48891271324835 0.000484989490466949 0.00147635871177339 "black"
"Solyc00g500065.1" 19.2701367891642 2.51548115292482 0.831054159460316 2.9930867115637 0.00276171271751441 0.00705098380823612 "red"
"Solyc00g500066.1" 2.57779874526339 1.24168119644136 1.10637304166155 1.08124667198419 0.279587402125129 0.381093301161182 "black"
"Solyc00g500121.1" 1.30636183493796 2.16270858658461 1.43250000218337 1.46796418881332 0.142113950662979 0.219053603627371 "black"
"Solyc00g500140.1" 1.25835520755297 0.0826866515778985 1.35923921009288 0.0908450654561115 0.927615701015498 0.955105442519297 "black"
"Solyc00g500152.1" 9.74400177797573 0.869985955036506 0.700477625455808 1.24522370577875 0.213049531057038 0.305448477908674 "black"
"Solyc00g019730.1" 1.65052982369793 -2.90478063305901 1.3066102241207 -2.26536468133385 0.0234903098223727 0.0473199548986653 "black"
"Solyc00g023590.2" 1.95356755149866 2.03749683825365 1.1515195122933 1.6381581805488 0.101388700823129 0.165580543194178 "black"
"Solyc00g500183.1" 23.2756914783142 0.463417099768549 0.479796373638347 0.965151700396541 0.334468834799019 0.43966350726407 "black"
"Solyc00g500184.1" 6.79464330172025 2.04968370253968 0.84254914479027 2.36973062994424 0.0178010491009149 0.0371101093785878 "black"
"Solyc00g500185.1" 3.7749367663583 -0.556338660102966 0.867481481349768 -0.64352309901523 0.519884731329074 0.621623723023488 "black"
"Solyc00g014800.1" 8.63430413656765 -0.258280480934935 0.818170894168042 -0.31729140510415 0.751022498435974 0.823141217742556 "black"
"Solyc00g014790.2" 7.89289464943143 1.3741182728535 0.695608454686795 1.95550173244177 0.0505238790815331 0.0914434926092484 "black"
"Solyc00g094550.1" 1.22408635766527 -0.795473020484261 1.27879331826118 -0.611947150939426 0.540572724143203 0.641124755392937 "black"
"Solyc00g094540.1" 2.88140632092587 -0.4840240515713 1.1216261718887 -0.43140874670544 0.666171191174617 0.751063867995186 "black"
"Solyc00g094530.1" 3.3542627301508 -0.0291255971818189 1.09778724694826 -0.0304049266073395 0.975744115809241 0.991035310770423 "black"
"Solyc00g094520.1" 1.57081041296433 -1.29383100973046 1.33476585054403 -0.967270922275006 0.333408615822198 0.43856155131797 "black"
"Solyc00g500228.1" 2.15834185528016 -0.338736907033322 1.24737110090844 -0.268409126258905 0.7883844154336 0.853053160832587 "black"
"Solyc00g020040.1" 1.54994654041672 1.8472964051984 1.36937375869736 1.29676277407785 0.194712822846169 0.28413944940876 "black"
"Solyc00g020020.2" 4.26627614136788 0.84681037037697 0.968215340350894 0.857125747936904 0.391375392759343 0.49912115850968 "black"
"Solyc00g020010.1" 5.10542075779567 -0.309935706854757 0.747077168767745 -0.420012310173016 0.674476460826355 0.758300497475975 "black"
"Solyc00g020000.1" 5.69064207275234 0.12635661462842 0.729319411406868 0.167330309583206 0.867110156734016 0.910993985740644 "black"
"Solyc00g019980.2" 7.57266804746735 0.510926437206086 0.717455435868176 0.712226699608812 0.476324406024901 0.581408479165443 "black"
