"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"Solyc00g500001.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500002.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500003.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500004.1" 0 0 0 0 0 1 0 0 0 0 0 0
"Solyc00g500005.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500006.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500007.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500008.1" 0 0 1 0 0 0 0 1 0 0 0 0
"Solyc00g500009.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500010.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500011.1" 0 0 0 0 0 0 0 4 0 0 0 0
"Solyc00g500012.1" 1 1 0 0 1 0 1 4 0 0 1 0
"Solyc00g500013.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500014.1" 0 0 0 0 0 1 1 2 0 0 0 0
"Solyc00g500015.1" 0 0 0 1 2 2 0 1 1 0 0 0
"Solyc00g500016.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500017.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500018.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g014290.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g005280.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500019.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500020.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500021.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500022.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g180440.1" 0 1 0 0 0 0 0 0 0 0 0 0
"Solyc00g500023.1" 0 0 1 0 1 0 0 0 0 0 0 0
"Solyc00g500024.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500025.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500026.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500027.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500028.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500029.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500030.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500031.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500032.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500033.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500034.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500035.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500036.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500037.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500038.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500039.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500040.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500041.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500042.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500043.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500044.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500045.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500046.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500047.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g277510.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500048.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500049.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500050.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500051.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500052.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500053.1" 0 0 0 0 0 0 0 0 0 0 0 0
