"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ortho_3719" 496.614887051606 -0.500661984797298 0.185094585578535 -2.70484978624367 0.00683352828974932 0.0387324749381508
"ortho_2173" 0.632646483790973 -0.0406469846044081 1.13032657887945 -0.0358102864407565 0.971433630935384 NA
"ortho_3198" 4.44818615299949 0.151240989099617 0.889754312999133 0.19273514050285 0.847166401251761 0.942503549262421
"ortho_7974" 60.3964770515776 0.391022158497891 0.264412729004426 1.48052600671835 0.138732925566818 0.341415661052383
"ortho_1213" 104.022975937284 -0.228388625842055 0.231517795184011 -0.986521051122294 0.323877490319943 0.57251044271615
"ortho_8997" 66.2997379863921 -0.353356071784414 0.293860365168368 -1.20200153512261 0.22936293332031 0.466770576393408
"ortho_4560" 5.05063388207493 -0.488318345306657 0.680934579326505 -0.71842292886656 0.472496553321705 0.705979397704433
"ortho_1435" 206.412892449916 0.445302772011241 0.258021832726253 1.72620584183823 0.0843103874534144 0.245593519420541
"ortho_8085" 8.75448952787743 0.462813648036781 0.55015307440503 0.840581753971553 0.400582283973882 0.644220587856571
"ortho_4480" 16.8609696650787 0.364164589895375 0.41673302576951 0.873607777541955 0.382331889209351 0.629006444240596
"ortho_4479" 60.9409862712693 0.975684900866129 0.307499484064739 3.17638439750429 0.00149123210318572 0.0118237391851842
"ortho_5713" 57.6178138224368 1.04742637873506 0.343179186664541 3.04955363965308 0.00229181703154246 0.0166156734786828
"ortho_5235" 608.050236130584 0.459430641804371 0.218443064482091 2.1032519443834 0.0354437517705701 0.132152409770476
"ortho_2543" 16.5373057028716 0.393340669179732 0.437090297805657 0.898103409694443 0.369130421399705 0.616649518329592
"ortho_2542" 242.666644454822 0.227892759828802 0.180140249688328 1.26523119548801 0.205788462806694 0.437097895665507
"ortho_2541" 83.8890318253581 1.04954313870471 0.283580225117105 3.70152953232165 0.000214303707139282 0.0024589753279884
"ortho_2540" 234.705594876612 0.0740313741166424 0.292398524397602 0.252883901393989 0.800357930057386 0.917964464858323
"ortho_2539" 50.3134891695774 0.072087522624761 0.303222585188879 0.237629328162973 0.812168601392666 0.923270736554315
"ortho_2538" 35.954658223337 0.73854765095902 0.598419598136095 1.27580940645688 0.20202290159608 0.432439315145502
"ortho_7792" 3.35202231227563 -3.80114825584734 1.05146582107195 -3.53631259757123 0.000405754264277155 0.00419015501207188
