Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	537	537
OG0000001	258	258
OG0000002	224	224
OG0000003	207	207
OG0000004	194	194
OG0000005	126	126
OG0000006	125	125
OG0000007	121	121
OG0000008	119	119
OG0000009	107	107
OG0000010	102	102
OG0000011	102	102
OG0000012	99	99
OG0000013	88	88
OG0000014	86	86
OG0000015	85	85
OG0000016	81	81
OG0000017	77	77
OG0000018	73	73
OG0000019	73	73
OG0000020	69	69
OG0000021	68	68
OG0000022	67	67
OG0000023	64	64
OG0000024	64	64
OG0000025	59	59
OG0000026	55	55
OG0000027	58	58
OG0000028	54	54
OG0000029	55	55
OG0000030	54	54
OG0000031	50	50
OG0000032	50	50
OG0000033	50	50
OG0000034	50	50
OG0000035	49	49
OG0000036	48	48
OG0000037	48	48
OG0000038	44	44
OG0000039	45	45
OG0000040	44	44
OG0000041	43	43
OG0000042	41	41
OG0000043	39	39
OG0000044	41	41
OG0000045	36	36
OG0000046	40	40
OG0000047	39	39
OG0000048	39	39
OG0000049	37	37
OG0000050	38	38
OG0000051	36	36
OG0000052	35	35
OG0000053	34	34
OG0000054	35	35
OG0000055	36	36
OG0000056	34	34
OG0000057	35	35
OG0000058	34	34
OG0000059	31	31
OG0000060	34	34
OG0000061	33	33
OG0000062	31	31
OG0000063	32	32
OG0000064	26	26
OG0000065	31	31
OG0000066	30	30
OG0000067	30	30
OG0000068	30	30
OG0000069	28	28
OG0000070	28	28
OG0000071	27	27
OG0000072	30	30
OG0000073	29	29
OG0000074	29	29
OG0000075	29	29
OG0000076	27	27
OG0000077	24	24
OG0000078	27	27
OG0000079	28	28
OG0000080	27	27
OG0000081	24	24
OG0000082	27	27
OG0000083	27	27
OG0000084	27	27
OG0000085	22	22
OG0000086	24	24
OG0000087	25	25
OG0000088	24	24
OG0000089	26	26
OG0000090	26	26
OG0000091	26	26
OG0000092	26	26
OG0000093	25	25
OG0000094	25	25
OG0000095	20	20
OG0000096	25	25
OG0000097	24	24
OG0000098	22	22
OG0000099	23	23
OG0000100	24	24
OG0000101	24	24
OG0000102	24	24
OG0000103	21	21
OG0000104	22	22
OG0000105	23	23
OG0000106	22	22
OG0000107	21	21
OG0000108	19	19
OG0000109	22	22
OG0000110	21	21
OG0000111	22	22
OG0000112	23	23
OG0000113	23	23
OG0000114	18	18
OG0000115	20	20
OG0000116	20	20
OG0000117	19	19
OG0000118	21	21
OG0000119	22	22
OG0000120	20	20
OG0000121	18	18
OG0000122	20	20
OG0000123	20	20
OG0000124	20	20
OG0000125	19	19
OG0000126	22	22
OG0000127	22	22
OG0000128	22	22
OG0000129	22	22
OG0000130	18	18
OG0000131	19	19
OG0000132	20	20
OG0000133	17	17
OG0000134	20	20
OG0000135	20	20
OG0000136	20	20
OG0000137	20	20
OG0000138	21	21
OG0000139	21	21
OG0000140	21	21
OG0000141	19	19
OG0000142	20	20
OG0000143	19	19
OG0000144	19	19
OG0000145	19	19
OG0000146	19	19
OG0000147	16	16
OG0000148	20	20
OG0000149	20	20
OG0000150	20	20
OG0000151	19	19
OG0000152	16	16
OG0000153	19	19
OG0000154	18	18
OG0000155	13	13
OG0000156	15	15
OG0000157	19	19
OG0000158	18	18
OG0000159	18	18
OG0000160	18	18
OG0000161	18	18
OG0000162	15	15
OG0000163	18	18
OG0000164	19	19
OG0000165	19	19
OG0000166	15	15
OG0000167	10	10
OG0000168	18	18
OG0000169	16	16
OG0000170	14	14
OG0000171	13	13
OG0000172	17	17
OG0000173	17	17
OG0000174	17	17
OG0000175	16	16
OG0000176	17	17
OG0000177	18	18
OG0000178	18	18
OG0000179	14	14
OG0000180	14	14
OG0000181	16	16
OG0000182	13	13
OG0000183	15	15
OG0000184	16	16
OG0000185	17	17
OG0000186	16	16
OG0000187	13	13
OG0000188	16	16
OG0000189	16	16
OG0000190	16	16
OG0000191	17	17
OG0000192	17	17
OG0000193	17	17
OG0000194	17	17
OG0000195	17	17
OG0000196	17	17
OG0000197	15	15
OG0000198	16	16
OG0000199	16	16
OG0000200	14	14
OG0000201	15	15
OG0000202	12	12
OG0000203	13	13
OG0000204	15	15
OG0000205	13	13
OG0000206	10	10
OG0000207	12	12
OG0000208	14	14
OG0000209	16	16
OG0000210	12	12
OG0000211	14	14
OG0000212	15	15
OG0000213	15	15
OG0000214	14	14
OG0000215	15	15
OG0000216	15	15
OG0000217	16	16
OG0000218	16	16
OG0000219	16	16
OG0000220	16	16
OG0000221	16	16
OG0000222	16	16
OG0000223	13	13
OG0000224	14	14
OG0000225	12	12
OG0000226	13	13
OG0000227	14	14
OG0000228	15	15
OG0000229	14	14
OG0000230	15	15
OG0000231	14	14
OG0000232	13	13
OG0000233	11	11
OG0000234	12	12
OG0000235	12	12
OG0000236	14	14
OG0000237	12	12
OG0000238	15	15
OG0000239	14	14
OG0000240	12	12
OG0000241	15	15
OG0000242	13	13
OG0000243	14	14
OG0000244	14	14
OG0000245	15	15
OG0000246	15	15
OG0000247	15	15
OG0000248	15	15
OG0000249	15	15
OG0000250	14	14
OG0000251	13	13
OG0000252	13	13
OG0000253	13	13
OG0000254	14	14
OG0000255	14	14
OG0000256	11	11
OG0000257	14	14
OG0000258	11	11
OG0000259	11	11
OG0000260	13	13
OG0000261	13	13
OG0000262	10	10
OG0000263	14	14
OG0000264	13	13
OG0000265	12	12
OG0000266	12	12
OG0000267	12	12
OG0000268	13	13
OG0000269	9	9
OG0000270	10	10
OG0000271	12	12
OG0000272	13	13
OG0000273	9	9
OG0000274	13	13
OG0000275	13	13
OG0000276	13	13
OG0000277	13	13
OG0000278	13	13
OG0000279	14	14
OG0000280	14	14
OG0000281	14	14
OG0000282	14	14
OG0000283	12	12
OG0000284	13	13
OG0000285	12	12
OG0000286	9	9
OG0000287	11	11
OG0000288	11	11
OG0000289	12	12
OG0000290	12	12
OG0000291	12	12
OG0000292	10	10
OG0000293	11	11
OG0000294	9	9
OG0000295	12	12
OG0000296	12	12
OG0000297	13	13
OG0000298	12	12
OG0000299	13	13
OG0000300	11	11
OG0000301	9	9
OG0000302	12	12
OG0000303	10	10
OG0000304	10	10
OG0000305	12	12
OG0000306	12	12
OG0000307	13	13
OG0000308	9	9
OG0000309	13	13
OG0000310	10	10
OG0000311	13	13
OG0000312	11	11
OG0000313	10	10
OG0000314	10	10
OG0000315	11	11
OG0000316	11	11
OG0000317	12	12
OG0000318	13	13
OG0000319	13	13
OG0000320	13	13
OG0000321	13	13
OG0000322	13	13
OG0000323	13	13
OG0000324	13	13
OG0000325	11	11
OG0000326	12	12
OG0000327	11	11
OG0000328	12	12
OG0000329	12	12
OG0000330	9	9
OG0000331	12	12
OG0000332	9	9
OG0000333	11	11
OG0000334	11	11
OG0000335	10	10
OG0000336	11	11
OG0000337	11	11
OG0000338	11	11
OG0000339	11	11
OG0000340	10	10
OG0000341	11	11
OG0000342	12	12
OG0000343	12	12
OG0000344	11	11
OG0000345	7	7
OG0000346	9	9
OG0000347	10	10
OG0000348	12	12
OG0000349	9	9
OG0000350	11	11
OG0000351	12	12
OG0000352	7	7
OG0000353	9	9
OG0000354	11	11
OG0000355	8	8
OG0000356	11	11
OG0000357	11	11
OG0000358	10	10
OG0000359	9	9
OG0000360	9	9
OG0000361	9	9
OG0000362	12	12
OG0000363	10	10
OG0000364	9	9
OG0000365	8	8
OG0000366	10	10
OG0000367	10	10
OG0000368	9	9
OG0000369	10	10
OG0000370	10	10
OG0000371	11	11
OG0000372	11	11
OG0000373	11	11
OG0000374	11	11
OG0000375	9	9
OG0000376	12	12
OG0000377	12	12
OG0000378	12	12
OG0000379	12	12
OG0000380	12	12
OG0000381	12	12
OG0000382	10	10
OG0000383	11	11
OG0000384	11	11
OG0000385	11	11
OG0000386	11	11
OG0000387	9	9
OG0000388	10	10
OG0000389	10	10
OG0000390	9	9
OG0000391	10	10
OG0000392	9	9
OG0000393	10	10
OG0000394	10	10
OG0000395	8	8
OG0000396	9	9
OG0000397	9	9
OG0000398	11	11
OG0000399	8	8
OG0000400	8	8
OG0000401	10	10
OG0000402	9	9
OG0000403	7	7
OG0000404	9	9
OG0000405	10	10
OG0000406	11	11
OG0000407	9	9
OG0000408	8	8
OG0000409	6	6
OG0000410	10	10
OG0000411	7	7
OG0000412	10	10
OG0000413	11	11
OG0000414	9	9
OG0000415	10	10
OG0000416	11	11
OG0000417	9	9
OG0000418	10	10
OG0000419	11	11
OG0000420	10	10
OG0000421	10	10
OG0000422	10	10
OG0000423	9	9
OG0000424	10	10
OG0000425	10	10
OG0000426	10	10
OG0000427	10	10
OG0000428	8	8
OG0000429	9	9
OG0000430	10	10
OG0000431	10	10
OG0000432	10	10
OG0000433	10	10
OG0000434	11	11
OG0000435	10	10
OG0000436	10	10
OG0000437	10	10
OG0000438	8	8
OG0000439	10	10
OG0000440	7	7
OG0000441	10	10
OG0000442	10	10
OG0000443	11	11
OG0000444	11	11
OG0000445	11	11
OG0000446	11	11
OG0000447	11	11
OG0000448	9	9
OG0000449	10	10
OG0000450	9	9
OG0000451	10	10
OG0000452	10	10
OG0000453	8	8
OG0000454	10	10
OG0000455	7	7
OG0000456	10	10
OG0000457	9	9
OG0000458	10	10
OG0000459	7	7
OG0000460	7	7
OG0000461	8	8
OG0000462	9	9
OG0000463	9	9
OG0000464	10	10
OG0000465	9	9
OG0000466	7	7
OG0000467	9	9
OG0000468	9	9
OG0000469	9	9
OG0000470	9	9
OG0000471	10	10
OG0000472	10	10
OG0000473	8	8
OG0000474	10	10
OG0000475	5	5
OG0000476	10	10
OG0000477	8	8
OG0000478	6	6
OG0000479	7	7
OG0000480	7	7
OG0000481	6	6
OG0000482	8	8
OG0000483	9	9
OG0000484	9	9
OG0000485	6	6
OG0000486	7	7
OG0000487	7	7
OG0000488	7	7
OG0000489	8	8
OG0000490	10	10
OG0000491	9	9
OG0000492	7	7
OG0000493	6	6
OG0000494	10	10
OG0000495	5	5
OG0000496	10	10
OG0000497	8	8
OG0000498	9	9
OG0000499	9	9
OG0000500	8	8
OG0000501	7	7
OG0000502	8	8
OG0000503	8	8
