"GO.ID" "Term" "Annotated" "Significant" "Expected" "weightFisher"
"1" "GO:0008150" "biological_process" 3978 239 300.06 "1.2e-19"
"2" "GO:0009834" "plant-type secondary cell wall biogenesi..." 39 9 2.94 "5.0e-07"
"3" "GO:0006468" "protein phosphorylation" 267 27 20.14 "5.9e-07"
"4" "GO:0006355" "regulation of transcription, DNA-templat..." 662 40 49.93 "8.4e-06"
"5" "GO:0009908" "flower development" 243 20 18.33 "0.00011"
"6" "GO:0042742" "defense response to bacterium" 157 13 11.84 "0.00018"
"7" "GO:0009617" "response to bacterium" 186 19 14.03 "0.00126"
"8" "GO:0002237" "response to molecule of bacterial origin" 19 4 1.43 "0.00359"
"9" "GO:0043433" "negative regulation of DNA-binding trans..." 4 2 0.3 "0.00425"
"10" "GO:0031146" "SCF-dependent proteasomal ubiquitin-depe..." 25 4 1.89 "0.00428"
"11" "GO:0048364" "root development" 219 14 16.52 "0.00442"
"12" "GO:0030154" "cell differentiation" 274 18 20.67 "0.00514"
"13" "GO:0046777" "protein autophosphorylation" 60 6 4.53 "0.00553"
"14" "GO:0009956" "radial pattern formation" 14 3 1.06 "0.00576"
"15" "GO:0042744" "hydrogen peroxide catabolic process" 44 5 3.32 "0.00648"
"16" "GO:0048579" "negative regulation of long-day photoper..." 5 2 0.38 "0.00695"
"17" "GO:0006979" "response to oxidative stress" 145 9 10.94 "0.00808"
"18" "GO:0010305" "leaf vascular tissue pattern formation" 17 3 1.28 "0.01014"
"19" "GO:0009833" "plant-type primary cell wall biogenesis" 17 3 1.28 "0.01014"
"20" "GO:0030001" "metal ion transport" 105 5 7.92 "0.01022"
"21" "GO:0045087" "innate immune response" 146 8 11.01 "0.01172"
"22" "GO:0098869" "cellular oxidant detoxification" 71 6 5.36 "0.01238"
"23" "GO:0030244" "cellulose biosynthetic process" 34 4 2.56 "0.01297"
"24" "GO:0006349" "regulation of gene expression by genetic..." 7 2 0.53 "0.01409"
"25" "GO:0045493" "xylan catabolic process" 7 2 0.53 "0.01409"
"26" "GO:0007623" "circadian rhythm" 61 5 4.6 "0.01428"
"27" "GO:0046686" "response to cadmium ion" 54 5 4.07 "0.01517"
"28" "GO:0009266" "response to temperature stimulus" 192 12 14.48 "0.01771"
"29" "GO:0019432" "triglyceride biosynthetic process" 8 2 0.6 "0.01845"
"30" "GO:0032259" "methylation" 113 7 8.52 "0.02044"
"31" "GO:0010154" "fruit development" 231 16 17.42 "0.02182"
