HOG	OG	Gene Tree Parent Clade	lycopersicum	pepper
N0.HOG0000000	OG0000000	n1	Solyc10g007750.1.1	PHT69688.1
N0.HOG0000001	OG0000000	n3		PHT72676.1, PHT79628.1
N0.HOG0000002	OG0000000	n5		PHT75723.1, PHT71992.1
N0.HOG0000003	OG0000000	n7		PHT76168.1, PHT72933.1, PHT65679.1, PHT68869.1, PHT73326.1, PHT86955.1, PHT74340.1, PHT81651.1, PHT69558.1, PHT66043.1, PHT60756.1, PHT75553.1, PHT85585.1, PHT80976.1, PHT70715.1, PHT84515.1, PHT78307.1, PHT81554.1, PHT89814.1, PHT68138.1, PHT80376.1, PHT79704.1
N0.HOG0000004	OG0000000	n29		PHT81357.1, PHT70032.1, PHT68806.1, PHT80892.1, PHT76825.1, PHT89651.1
N0.HOG0000005	OG0000000	n35	Solyc11g065650.1.1	PHT73423.1, PHT65107.1, PHT82213.1
N0.HOG0000006	OG0000000	n39		PHT76331.1, PHT65759.1
N0.HOG0000007	OG0000000	n41	Solyc02g068640.3.1	PHT89682.1, PHT75783.1
N0.HOG0000008	OG0000000	n44	Solyc12g042190.1.1	PHT95679.1, PHT76273.1, PHT86310.1, PHT88984.1, PHT89390.1, PHT78604.1, PHT78377.1, PHT62765.1, PHT89594.1, PHT70028.1, PHT93857.1, PHT73038.1, PHT62610.1, PHT72711.1, PHT70978.1, PHT74640.1, PHT70520.1, PHT83713.1, PHT85804.1, PHT73186.1, PHT81929.1, PHT70727.1, PHT95798.1, PHT95789.1, PHT72648.1, PHT94479.1, PHT78864.1, PHT81451.1, PHT95596.1, PHT87204.1, PHT72296.1, PHT90422.1, PHT93809.1, PHT72427.1, PHT78112.1, PHT66029.1, PHT84482.1, PHT84476.1, PHT85893.1, PHT95629.1, PHT83559.1, PHT68682.1, PHT75462.1, PHT82329.1, PHT78672.1, PHT73253.1, PHT60855.1, PHT69150.1, PHT78942.1, PHT72619.1, PHT81839.1, PHT65069.1, PHT79596.1, PHT69109.1, PHT63912.1, PHT74843.1, PHT84959.1, PHT92215.1, PHT84542.1, PHT75507.1, PHT63246.1, PHT72219.1, PHT87134.1, PHT67239.1, PHT92864.1, PHT75714.1, PHT90603.1, PHT95594.1, PHT68548.1, PHT65548.1, PHT72343.1, PHT71877.1, PHT83873.1, PHT93916.1, PHT67948.1, PHT84030.1, PHT88430.1, PHT65927.1, PHT83504.1, PHT83583.1, PHT87671.1, PHT81886.1, PHT72063.1, PHT70377.1, PHT94388.1, PHT68611.1, PHT78987.1, PHT64336.1, PHT89193.1, PHT70476.1, PHT75244.1, PHT76335.1, PHT95894.1, PHT73389.1, PHT61383.1, PHT65564.1, PHT68573.1, PHT65395.1, PHT73205.1, PHT90876.1, PHT75895.1, PHT73178.1, PHT76390.1, PHT72592.1, PHT87135.1, PHT77940.1, PHT70600.1, PHT70094.1, PHT66276.1, PHT66028.1, PHT70837.1, PHT70319.1, PHT82181.1, PHT72979.1, PHT74177.1, PHT67914.1, PHT70636.1, PHT89459.1, PHT93772.1, PHT89215.1, PHT70231.1, PHT65253.1, PHT65611.1, PHT70688.1, PHT83532.1, PHT78591.1, PHT61469.1, PHT65918.1, PHT65577.1, PHT65535.1, PHT68447.1, PHT69065.1, PHT93822.1, PHT78993.1, PHT74366.1, PHT90697.1, PHT89393.1, PHT65531.1, PHT76623.1, PHT67981.1, PHT68799.1, PHT81374.1, PHT76960.1, PHT67791.1, PHT75652.1, PHT75015.1, PHT92874.1, PHT67272.1, PHT88001.1, PHT83893.1, PHT85675.1, PHT75653.1, PHT70872.1, PHT76431.1, PHT94886.1, PHT86652.1, PHT67837.1, PHT62242.1, PHT79248.1, PHT74375.1, PHT65215.1, PHT74068.1, PHT83986.1, PHT76647.1, PHT89780.1, PHT66027.1, PHT74330.1, PHT64719.1, PHT91362.1, PHT93720.1, PHT66527.1, PHT86834.1, PHT66318.1, PHT80889.1, PHT72998.1, PHT83186.1, PHT73076.1, PHT74095.1, PHT68203.1, PHT92895.1, PHT69801.1, PHT76135.1, PHT66370.1, PHT62184.1, PHT78531.1, PHT94337.1, PHT93217.1, PHT68473.1, PHT93556.1, PHT63869.1, PHT94770.1, PHT81780.1, PHT92220.1, PHT77967.1, PHT73424.1, PHT89653.1, PHT79103.1, PHT63319.1, PHT77130.1, PHT89751.1, PHT74310.1, PHT93092.1, PHT68821.1, PHT70057.1, PHT68315.1, PHT73631.1, PHT83836.1, PHT84263.1, PHT68970.1, PHT81314.1, PHT87074.1, PHT75433.1, PHT70955.1, PHT93957.1, PHT67634.1, PHT71989.1, PHT67421.1, PHT86958.1, PHT95580.1, PHT70428.1, PHT78138.1, PHT62967.1, PHT62842.1, PHT67454.1, PHT76434.1, PHT94157.1, PHT88111.1, PHT85628.1, PHT79093.1, PHT65605.1, PHT70529.1, PHT82145.1, PHT76167.1, PHT76121.1, PHT86961.1, PHT70429.1, PHT94543.1, PHT77918.1, PHT83728.1, PHT93224.1, PHT72334.1, PHT65552.1, PHT66440.1, PHT81525.1, PHT75377.1, PHT92700.1, PHT69840.1, PHT90754.1, PHT83494.1, PHT61630.1, PHT67244.1, PHT67241.1, PHT95261.1, PHT94633.1, PHT75362.1, PHT60868.1, PHT82300.1, PHT90075.1, PHT86386.1, PHT84361.1, PHT78005.1, PHT76271.1, PHT81408.1, PHT67598.1, PHT75609.1, PHT70660.1, PHT65331.1, PHT79089.1, PHT94706.1, PHT91233.1, PHT83081.1, PHT80541.1, PHT73012.1, PHT63446.1, PHT86024.1, PHT76172.1, PHT76122.1, PHT81531.1, PHT76551.1, PHT75955.1, PHT82070.1, PHT78998.1, PHT94678.1, PHT62311.1, PHT81904.1, PHT86715.1, PHT70667.1, PHT69871.1, PHT94593.1, PHT78059.1, PHT67483.1, PHT68965.1, PHT94504.1, PHT82136.1, PHT68534.1, PHT68609.1, PHT66645.1, PHT74159.1, PHT75941.1, PHT69100.1, PHT83087.1, PHT69849.1, PHT64318.1, PHT86692.1, PHT86787.1, PHT70551.1, PHT76613.1, PHT94122.1, PHT89662.1, PHT78393.1, PHT80168.1, PHT74142.1, PHT86788.1, PHT71869.1, PHT68633.1, PHT86226.1, PHT94816.1, PHT86201.1, PHT70865.1, PHT94307.1, PHT70081.1, PHT94500.1, PHT94736.1, PHT90988.1, PHT66077.1, PHT67240.1, PHT61631.1, PHT89064.1, PHT66551.1, PHT62655.1, PHT64372.1, PHT74409.1, PHT79627.1, PHT95158.1, PHT72864.1, PHT63132.1, PHT73630.1, PHT68112.1, PHT95633.1, PHT76499.1, PHT79415.1, PHT93124.1, PHT83751.1, PHT89162.1, PHT95828.1, PHT81356.1, PHT63789.1, PHT85674.1, PHT86343.1, PHT63458.1, PHT76389.1, PHT76320.1, PHT90606.1, PHT76984.1, PHT67461.1, PHT84724.1, PHT93742.1, PHT70505.1, PHT76321.1, PHT65770.1, PHT76007.1, PHT86303.1, PHT93837.1, PHT67894.1, PHT86257.1, PHT74523.1, PHT82122.1, PHT68782.1, PHT86399.1, PHT68321.1, PHT76243.1, PHT69049.1, PHT75651.1, PHT69770.1, PHT66258.1, PHT66359.1, PHT93161.1, PHT78257.1, PHT86745.1, PHT90283.1, PHT94707.1, PHT84197.1, PHT66631.1, PHT92190.1, PHT74129.1, PHT60813.1, PHT61466.1, PHT76916.1, PHT78656.1, PHT65571.1, PHT92795.1, PHT67786.1, PHT67859.1, PHT76863.1, PHT88204.1, PHT70885.1, PHT81700.1, PHT83649.1, PHT89859.1, PHT72923.1, PHT68854.1, PHT87718.1, PHT94776.1, PHT70078.1, PHT86506.1, PHT87371.1, PHT65922.1, PHT86280.1, PHT78179.1, PHT66494.1, PHT89729.1, PHT89875.1, PHT77903.1, PHT73139.1, PHT75112.1, PHT86865.1, PHT72163.1, PHT92863.1, PHT78298.1, PHT74856.1, PHT68826.1, PHT84516.1, PHT88597.1, PHT89970.1, PHT78840.1, PHT74002.1, PHT68610.1, PHT65665.1, PHT68767.1, PHT81026.1, PHT66373.1, PHT93241.1, PHT94784.1, PHT64529.1, PHT77636.1, PHT75985.1, PHT93819.1, PHT94344.1, PHT81367.1, PHT46992.1, PHT76788.1, PHT72657.1, PHT81177.1, PHT76043.1, PHT67686.1, PHT93645.1, PHT92701.1, PHT80377.1, PHT91164.1, PHT83779.1, PHT65304.1, PHT61423.1, PHT68721.1, PHT65348.1, PHT94336.1, PHT82953.1, PHT95546.1, PHT70856.1, PHT70538.1, PHT68940.1, PHT87468.1, PHT70644.1, PHT83182.1, PHT66471.1, PHT80977.1, PHT74249.1, PHT89341.1, PHT95431.1, PHT86413.1
N0.HOG0000009	OG0000000	n513	Solyc02g061750.1.1	PHT83636.1, PHT86232.1, PHT73289.1, PHT80054.1, PHT71037.1, PHT71853.1, PHT85963.1, PHT89282.1, PHT87272.1, PHT93383.1, PHT74337.1, PHT64549.1, PHT68197.1, PHT67590.1, PHT89561.1, PHT95807.1, PHT74005.1, PHT65313.1, PHT63434.1, PHT75728.1, PHT66500.1, PHT82946.1, PHT76223.1, PHT69909.1, PHT74451.1, PHT70618.1, PHT74137.1, PHT68791.1, PHT93221.1
