"Orthogroup" "lycopersicum.faa" "pepper.faa" "ortho"
"1" "OG0007166" "Solyc00g500107.1.1" "PHT66250.1" "ortho_1"
"2" "OG0007167" "Solyc00g281110.1.1" "PHT65668.1" "ortho_2"
"3" "OG0007168" "Solyc00g500109.1.1" "PHT94487.1" "ortho_3"
"4" "OG0007172" "Solyc00g023570.1.1" "PHT85854.1" "ortho_4"
"5" "OG0007173" "Solyc00g500183.1.1" "PHT82045.1" "ortho_5"
"6" "OG0007176" "Solyc00g049220.1.1" "PHT76136.1" "ortho_6"
"7" "OG0007181" "Solyc00g025290.1.1" "PHT70327.1" "ortho_7"
"8" "OG0007185" "Solyc00g019950.1.1" "PHT95054.1" "ortho_8"
"9" "OG0007186" "Solyc00g028960.1.1" "PHT65889.1" "ortho_9"
"10" "OG0007190" "Solyc01g005010.4.1" "PHT73909.1" "ortho_10"
"11" "OG0007191" "Solyc01g005030.4.1" "PHT73913.1" "ortho_11"
"12" "OG0007193" "Solyc01g005080.3.1" "PHT73920.1" "ortho_12"
"13" "OG0007194" "Solyc01g005100.4.1" "PHT73921.1" "ortho_13"
"14" "OG0007195" "Solyc01g005110.3.1" "PHT73922.1" "ortho_14"
"15" "OG0007196" "Solyc01g005120.3.1" "PHT73923.1" "ortho_15"
"16" "OG0007197" "Solyc01g005140.3.1" "PHT73928.1" "ortho_16"
"17" "OG0007198" "Solyc01g005160.4.1" "PHT73929.1" "ortho_17"
"18" "OG0007199" "Solyc01g005180.1.1" "PHT73931.1" "ortho_18"
"19" "OG0007200" "Solyc01g005220.3.1" "PHT73935.1" "ortho_19"
"20" "OG0007201" "Solyc01g005240.4.1" "PHT73937.1" "ortho_20"
"21" "OG0007202" "Solyc01g005250.4.1" "PHT73938.1" "ortho_21"
"22" "OG0007203" "Solyc01g005300.4.1" "PHT73947.1" "ortho_22"
"23" "OG0007204" "Solyc01g005310.3.1" "PHT73948.1" "ortho_23"
"24" "OG0007205" "Solyc01g005320.2.1" "PHT73949.1" "ortho_24"
"25" "OG0007206" "Solyc01g005340.3.1" "PHT73951.1" "ortho_25"
"26" "OG0007207" "Solyc01g005380.3.1" "PHT74016.1" "ortho_26"
"27" "OG0007208" "Solyc01g005400.3.1" "PHT74018.1" "ortho_27"
"28" "OG0007209" "Solyc01g005410.4.1" "PHT74019.1" "ortho_28"
"29" "OG0007210" "Solyc01g005440.4.1" "PHT95539.1" "ortho_29"
"30" "OG0007211" "Solyc01g005450.3.1" "PHT95538.1" "ortho_30"
"31" "OG0007212" "Solyc01g005460.4.1" "PHT95537.1" "ortho_31"
"32" "OG0007213" "Solyc01g005480.3.1" "PHT95534.1" "ortho_32"
"33" "OG0007214" "Solyc01g005520.4.1" "PHT73984.1" "ortho_33"
"34" "OG0007215" "Solyc01g005530.3.1" "PHT73982.1" "ortho_34"
"35" "OG0007216" "Solyc01g005540.4.1" "PHT73981.1" "ortho_35"
"36" "OG0007218" "Solyc01g005600.4.1" "PHT73977.1" "ortho_36"
