Orthogroup	lycopersicum	pepper
OG0017957	Solyc00g500025.1.1	
OG0017958	Solyc00g500028.1.1	
OG0017959	Solyc00g277510.1.1	
OG0017960	Solyc00g011670.1.1	
OG0017961	Solyc00g153980.1.1	
OG0017962	Solyc00g309530.1.1	
OG0017963	Solyc00g164580.1.1	
OG0017964	Solyc00g022070.1.1	
OG0017965	Solyc00g022080.1.1	
OG0017966	Solyc00g022090.1.1	
OG0017967	Solyc00g500106.1.1	
OG0017968	Solyc00g500108.1.1	
OG0017969	Solyc00g500110.1.1	
OG0017970	Solyc00g007340.1.1	
OG0017971	Solyc00g500142.1.1	
OG0017972	Solyc00g500152.1.1	
OG0017973	Solyc00g500156.1.1	
OG0017974	Solyc00g500166.1.1	
OG0017975	Solyc00g013100.1.1	
OG0017976	Solyc00g244300.1.1	
OG0017977	Solyc00g244280.1.1	
OG0017978	Solyc00g013170.1.1	
OG0017979	Solyc00g320430.1.1	
OG0017980	Solyc00g019750.1.1	
OG0017981	Solyc00g500179.1.1	
OG0017982	Solyc00g118680.2.1	
OG0017983	Solyc00g023600.1.1	
OG0017984	Solyc00g023580.1.1	
OG0017985	Solyc00g014860.1.1	
OG0017986	Solyc00g014850.1.1	
OG0017987	Solyc00g014810.1.1	
OG0017988	Solyc00g094550.1.1	
OG0017989	Solyc00g094540.1.1	
OG0017990	Solyc00g094520.1.1	
OG0017991	Solyc00g023700.2.1	
OG0017992	Solyc00g052540.1.1	
OG0017993	Solyc00g052530.2.1	
OG0017994	Solyc00g047190.1.1	
OG0017995	Solyc00g500225.1.1	
OG0017996	Solyc00g500229.1.1	
OG0017997	Solyc00g500230.1.1	
OG0017998	Solyc00g500231.1.1	
OG0017999	Solyc00g500232.1.1	
OG0018000	Solyc00g230060.1.1	
OG0018001	Solyc00g020030.1.1	
OG0018002	Solyc00g020010.1.1	
OG0018003	Solyc00g020000.1.1	
OG0018004	Solyc00g019970.2.1	
OG0018005	Solyc00g036530.1.1	
OG0018006	Solyc00g021650.1.1	
OG0018007	Solyc00g181240.1.1	
OG0018008	Solyc00g181250.2.1	
OG0018009	Solyc00g500281.1.1	
OG0018010	Solyc00g500294.1.1	
OG0018011	Solyc00g308530.1.1	
OG0018012	Solyc01g005150.3.1	
OG0018013	Solyc01g005210.4.1	
OG0018014	Solyc01g005390.3.1	
OG0018015	Solyc01g150100.1.1	
OG0018016	Solyc01g005783.1.1	
OG0018017	Solyc01g005787.1.1	
OG0018018	Solyc01g005860.2.1	
OG0018019	Solyc01g006040.3.1	
OG0018020	Solyc01g006055.1.1	
OG0018021	Solyc01g006080.2.1	
OG0018022	Solyc01g006200.3.1	
OG0018023	Solyc01g006270.2.1	
OG0018024	Solyc01g006420.3.1	
OG0018025	Solyc01g006600.3.1	
OG0018026	Solyc01g006750.2.1	
OG0018027	Solyc01g006780.4.1	
OG0018028	Solyc01g006820.2.1	
OG0018029	Solyc01g006845.1.1	
OG0018030	Solyc01g007180.3.1	
OG0018031	Solyc01g007190.3.1	
OG0018032	Solyc01g007200.2.1	
OG0018033	Solyc01g007210.3.1	
OG0018034	Solyc01g007770.2.1	
OG0018035	Solyc01g007800.3.1	
OG0018036	Solyc01g007830.2.1	
OG0018037	Solyc01g007860.3.1	
OG0018038	Solyc01g007890.3.1	
OG0018039	Solyc01g150101.1.1	
OG0018040	Solyc01g008000.3.1	
OG0018041	Solyc01g150102.1.1	
OG0018042	Solyc01g008150.1.1	
OG0018043	Solyc01g008220.3.1	
OG0018044	Solyc01g008400.3.1	
OG0018045	Solyc01g008425.1.1	
OG0018046	Solyc01g008590.1.1	
OG0018047	Solyc01g008700.4.1	
OG0018048	Solyc01g008880.3.1	
OG0018049	Solyc01g008940.2.1	
OG0018050	Solyc01g008950.4.1	
OG0018051	Solyc01g009100.4.1	
OG0018052	Solyc01g009145.1.1	
OG0018053	Solyc01g009210.2.1	
OG0018054	Solyc01g009340.4.1	
OG0018055	Solyc01g009505.1.1	
OG0018056	Solyc01g009530.1.1	
OG0018057	Solyc01g009540.1.1	
OG0018058	Solyc01g009565.1.1	
OG0018059	Solyc01g009705.1.1	
OG0018060	Solyc01g009710.1.1	
OG0018061	Solyc01g009910.1.1	
OG0018062	Solyc01g009940.1.1	
OG0018063	Solyc01g010060.2.1	
OG0018064	Solyc01g010063.1.1	
OG0018065	Solyc01g010160.3.1	
OG0018066	Solyc01g010170.2.1	
OG0018067	Solyc01g010230.2.1	
OG0018068	Solyc01g010240.3.1	
OG0018069	Solyc01g010365.1.1	
OG0018070	Solyc01g010400.1.1	
OG0018071	Solyc01g010420.3.1	
OG0018072	Solyc01g010470.2.1	
OG0018073	Solyc01g150111.1.1	
OG0018074	Solyc01g010600.4.1	
OG0018075	Solyc01g010690.1.1	
OG0018076	Solyc01g010840.1.1	
OG0018077	Solyc01g010920.2.1	
OG0018078	Solyc01g010930.4.1	
OG0018079	Solyc01g010960.3.1	
OG0018080	Solyc01g011020.2.1	
OG0018081	Solyc01g011030.3.1	
OG0018082	Solyc01g011070.1.1	
OG0018083	Solyc01g011080.3.1	
OG0018084	Solyc01g011090.4.1	
OG0018085	Solyc01g011110.1.1	
OG0018086	Solyc01g011273.1.1	
OG0018087	Solyc01g011352.1.1	
OG0018088	Solyc01g011413.1.1	
OG0018089	Solyc01g011417.1.1	
OG0018090	Solyc01g011435.1.1	
OG0018091	Solyc01g011465.1.1	
OG0018092	Solyc01g011470.1.1	
OG0018093	Solyc01g011500.1.1	
OG0018094	Solyc01g012590.1.1	
OG0018095	Solyc01g013887.1.1	
OG0018096	Solyc01g013975.1.1	
OG0018097	Solyc01g013980.1.1	
OG0018098	Solyc01g013985.1.1	
OG0018099	Solyc01g013990.1.1	
OG0018100	Solyc01g014100.3.1	
OG0018101	Solyc01g014130.2.1	
OG0018102	Solyc01g014140.3.1	
OG0018103	Solyc01g014210.1.1	
OG0018104	Solyc01g014240.1.1	
OG0018105	Solyc01g014250.2.1	
OG0018106	Solyc01g014260.1.1	
