Orthogroup	pepper	lycopersicum
OG0000000	PHT69688.1	Solyc10g007750.1.1
OG0000000	PHT73423.1, PHT65107.1, PHT82213.1	Solyc11g065650.1.1
OG0000000	PHT89682.1, PHT75783.1	Solyc02g068640.3.1
OG0000000	PHT95679.1, PHT76273.1, PHT86310.1, PHT88984.1, PHT89390.1, PHT78604.1, PHT78377.1, PHT62765.1, PHT89594.1, PHT70028.1, PHT93857.1, PHT73038.1, PHT62610.1, PHT72711.1, PHT70978.1, PHT74640.1, PHT70520.1, PHT83713.1, PHT85804.1, PHT73186.1, PHT81929.1, PHT70727.1, PHT95798.1, PHT95789.1, PHT72648.1, PHT94479.1, PHT78864.1, PHT81451.1, PHT95596.1, PHT87204.1, PHT72296.1, PHT90422.1, PHT93809.1, PHT72427.1, PHT78112.1, PHT66029.1, PHT84482.1, PHT84476.1, PHT85893.1, PHT95629.1, PHT83559.1, PHT68682.1, PHT75462.1, PHT82329.1, PHT78672.1, PHT73253.1, PHT60855.1, PHT69150.1, PHT78942.1, PHT72619.1, PHT81839.1, PHT65069.1, PHT79596.1, PHT69109.1, PHT63912.1, PHT74843.1, PHT84959.1, PHT92215.1, PHT84542.1, PHT75507.1, PHT63246.1, PHT72219.1, PHT87134.1, PHT67239.1, PHT92864.1, PHT75714.1, PHT90603.1, PHT95594.1, PHT68548.1, PHT65548.1, PHT72343.1, PHT71877.1, PHT83873.1, PHT93916.1, PHT67948.1, PHT84030.1, PHT88430.1, PHT65927.1, PHT83504.1, PHT83583.1, PHT87671.1, PHT81886.1, PHT72063.1, PHT70377.1, PHT94388.1, PHT68611.1, PHT78987.1, PHT64336.1, PHT89193.1, PHT70476.1, PHT75244.1, PHT76335.1, PHT95894.1, PHT73389.1, PHT61383.1, PHT65564.1, PHT68573.1, PHT65395.1, PHT73205.1, PHT90876.1, PHT75895.1, PHT73178.1, PHT76390.1, PHT72592.1, PHT87135.1, PHT77940.1, PHT70600.1, PHT70094.1, PHT66276.1, PHT66028.1, PHT70837.1, PHT70319.1, PHT82181.1, PHT72979.1, PHT74177.1, PHT67914.1, PHT70636.1, PHT89459.1, PHT93772.1, PHT89215.1, PHT70231.1, PHT65253.1, PHT65611.1, PHT70688.1, PHT83532.1, PHT78591.1, PHT61469.1, PHT65918.1, PHT65577.1, PHT65535.1, PHT68447.1, PHT69065.1, PHT93822.1, PHT78993.1, PHT74366.1, PHT90697.1, PHT89393.1, PHT65531.1, PHT76623.1, PHT67981.1, PHT68799.1, PHT81374.1, PHT76960.1, PHT67791.1, PHT75652.1, PHT75015.1, PHT92874.1, PHT67272.1, PHT88001.1, PHT83893.1, PHT85675.1, PHT75653.1, PHT70872.1, PHT76431.1, PHT94886.1, PHT86652.1, PHT67837.1, PHT62242.1, PHT79248.1, PHT74375.1, PHT65215.1, PHT74068.1, PHT83986.1, PHT76647.1, PHT89780.1, PHT66027.1, PHT74330.1, PHT64719.1, PHT91362.1, PHT93720.1, PHT66527.1, PHT86834.1, PHT66318.1, PHT80889.1, PHT72998.1, PHT83186.1, PHT73076.1, PHT74095.1, PHT68203.1, PHT92895.1, PHT69801.1, PHT76135.1, PHT66370.1, PHT62184.1, PHT78531.1, PHT94337.1, PHT93217.1, PHT68473.1, PHT93556.1, PHT63869.1, PHT94770.1, PHT81780.1, PHT92220.1, PHT77967.1, PHT73424.1, PHT89653.1, PHT79103.1, PHT63319.1, PHT77130.1, PHT89751.1, PHT74310.1, PHT93092.1, PHT68821.1, PHT70057.1, PHT68315.1, PHT73631.1, PHT83836.1, PHT84263.1, PHT68970.1, PHT81314.1, PHT87074.1, PHT75433.1, PHT70955.1, PHT93957.1, PHT67634.1, PHT71989.1, PHT67421.1, PHT86958.1, PHT95580.1, PHT70428.1, PHT78138.1, PHT62967.1, PHT62842.1, PHT67454.1, PHT76434.1, PHT94157.1, PHT88111.1, PHT85628.1, PHT79093.1, PHT65605.1, PHT70529.1, PHT82145.1, PHT76167.1, PHT76121.1, PHT86961.1, PHT70429.1, PHT94543.1, PHT77918.1, PHT83728.1, PHT93224.1, PHT72334.1, PHT65552.1, PHT66440.1, PHT81525.1, PHT75377.1, PHT92700.1, PHT69840.1, PHT90754.1, PHT83494.1, PHT61630.1, PHT67244.1, PHT67241.1, PHT95261.1, PHT94633.1, PHT75362.1, PHT60868.1, PHT82300.1, PHT90075.1, PHT86386.1, PHT84361.1, PHT78005.1, PHT76271.1, PHT81408.1, PHT67598.1, PHT75609.1, PHT70660.1, PHT65331.1, PHT79089.1, PHT94706.1, PHT91233.1, PHT83081.1, PHT80541.1, PHT73012.1, PHT63446.1, PHT86024.1, PHT76172.1, PHT76122.1, PHT81531.1, PHT76551.1, PHT75955.1, PHT82070.1, PHT78998.1, PHT94678.1, PHT62311.1, PHT81904.1, PHT86715.1, PHT70667.1, PHT69871.1, PHT94593.1, PHT78059.1, PHT67483.1, PHT68965.1, PHT94504.1, PHT82136.1, PHT68534.1, PHT68609.1, PHT66645.1, PHT74159.1, PHT75941.1, PHT69100.1, PHT83087.1, PHT69849.1, PHT64318.1, PHT86692.1, PHT86787.1, PHT70551.1, PHT76613.1, PHT94122.1, PHT89662.1, PHT78393.1, PHT80168.1, PHT74142.1, PHT86788.1, PHT71869.1, PHT68633.1, PHT86226.1, PHT94816.1, PHT86201.1, PHT70865.1, PHT94307.1, PHT70081.1, PHT94500.1, PHT94736.1, PHT90988.1, PHT66077.1, PHT67240.1, PHT61631.1, PHT89064.1, PHT66551.1, PHT62655.1, PHT64372.1, PHT74409.1, PHT79627.1, PHT95158.1, PHT72864.1, PHT63132.1, PHT73630.1, PHT68112.1, PHT95633.1, PHT76499.1, PHT79415.1, PHT93124.1, PHT83751.1, PHT89162.1, PHT95828.1, PHT81356.1, PHT63789.1, PHT85674.1, PHT86343.1, PHT63458.1, PHT76389.1, PHT76320.1, PHT90606.1, PHT76984.1, PHT67461.1, PHT84724.1, PHT93742.1, PHT70505.1, PHT76321.1, PHT65770.1, PHT76007.1, PHT86303.1, PHT93837.1, PHT67894.1, PHT86257.1, PHT74523.1, PHT82122.1, PHT68782.1, PHT86399.1, PHT68321.1, PHT76243.1, PHT69049.1, PHT75651.1, PHT69770.1, PHT66258.1, PHT66359.1, PHT93161.1, PHT78257.1, PHT86745.1, PHT90283.1, PHT94707.1, PHT84197.1, PHT66631.1, PHT92190.1, PHT74129.1, PHT60813.1, PHT61466.1, PHT76916.1, PHT78656.1, PHT65571.1, PHT92795.1, PHT67786.1, PHT67859.1, PHT76863.1, PHT88204.1, PHT70885.1, PHT81700.1, PHT83649.1, PHT89859.1, PHT72923.1, PHT68854.1, PHT87718.1, PHT94776.1, PHT70078.1, PHT86506.1, PHT87371.1, PHT65922.1, PHT86280.1, PHT78179.1, PHT66494.1, PHT89729.1, PHT89875.1, PHT77903.1, PHT73139.1, PHT75112.1, PHT86865.1, PHT72163.1, PHT92863.1, PHT78298.1, PHT74856.1, PHT68826.1, PHT84516.1, PHT88597.1, PHT89970.1, PHT78840.1, PHT74002.1, PHT68610.1, PHT65665.1, PHT68767.1, PHT81026.1, PHT66373.1, PHT93241.1, PHT94784.1, PHT64529.1, PHT77636.1, PHT75985.1, PHT93819.1, PHT94344.1, PHT81367.1, PHT46992.1, PHT76788.1, PHT72657.1, PHT81177.1, PHT76043.1, PHT67686.1, PHT93645.1, PHT92701.1, PHT80377.1, PHT91164.1, PHT83779.1, PHT65304.1, PHT61423.1, PHT68721.1, PHT65348.1, PHT94336.1, PHT82953.1, PHT95546.1, PHT70856.1, PHT70538.1, PHT68940.1, PHT87468.1, PHT70644.1, PHT83182.1, PHT66471.1, PHT80977.1, PHT74249.1, PHT89341.1, PHT95431.1, PHT86413.1	Solyc12g042190.1.1
OG0000000	PHT83636.1, PHT86232.1, PHT73289.1, PHT80054.1, PHT71037.1, PHT71853.1, PHT85963.1, PHT89282.1, PHT87272.1, PHT93383.1, PHT74337.1, PHT64549.1, PHT68197.1, PHT67590.1, PHT89561.1, PHT95807.1, PHT74005.1, PHT65313.1, PHT63434.1, PHT75728.1, PHT66500.1, PHT82946.1, PHT76223.1, PHT69909.1, PHT74451.1, PHT70618.1, PHT74137.1, PHT68791.1, PHT93221.1	Solyc02g061750.1.1
OG0000002	PHT84100.1, PHT68829.1, PHT65322.1, PHT73682.1, PHT73685.1, PHT70732.1, PHT60762.1, PHT75156.1, PHT61860.1, PHT79200.1, PHT71576.1, PHT61864.1, PHT73665.1, PHT61450.1, PHT73481.1, PHT73237.1, PHT75148.1, PHT73687.1, PHT61880.1, PHT62071.1, PHT61328.1, PHT73797.1, PHT73649.1, PHT73688.1, PHT73798.1, PHT73469.1, PHT73453.1, PHT61881.1, PHT73806.1, PHT73323.1, PHT73466.1, PHT73491.1, PHT61014.1, PHT75141.1, PHT73456.1, PHT61323.1, PHT75090.1, PHT75099.1, PHT75084.1, PHT73470.1, PHT73801.1, PHT73655.1, PHT82516.1, PHT73810.1, PHT77569.1, PHT73783.1, PHT75129.1, PHT77803.1, PHT73792.1, PHT73803.1, PHT73659.1, PHT46999.1, PHT73800.1, PHT73457.1, PHT61878.1, PHT73269.1, PHT82515.1, PHT73452.1, PHT61015.1, PHT61857.1, PHT61856.1, PHT75101.1, PHT75143.1, PHT75154.1, PHT73455.1, PHT61873.1, PHT75145.1, PHT75088.1, PHT61322.1, PHT73492.1, PHT73434.1, PHT73431.1, PHT75087.1, PHT73807.1, PHT73485.1, PHT73460.1, PHT73461.1, PHT75104.1, PHT73686.1, PHT73650.1, PHT73475.1, PHT73805.1, PHT73437.1, PHT73482.1, PHT61320.1, PHT73784.1, PHT73427.1, PHT61318.1, PHT61451.1, PHT77733.1, PHT73658.1, PHT61327.1, PHT83296.1, PHT29460.1, PHT73671.1, PHT73667.1, PHT61319.1, PHT82513.1, PHT77570.1, PHT73641.1, PHT73320.1, PHT73426.1, PHT61013.1, PHT61874.1, PHT73660.1, PHT73271.1, PHT93440.1, PHT73622.1, PHT73439.1, PHT73234.1, PHT73232.1, PHT73623.1, PHT73235.1, PHT73231.1, PHT61861.1, PHT62074.1, PHT63777.1, PHT73672.1, PHT73673.1, PHT75144.1, PHT73788.1, PHT73275.1, PHT73664.1, PHT73637.1, PHT75083.1, PHT73638.1, PHT73473.1, PHT60859.1, PHT73464.1, PHT61324.1, PHT75091.1, PHT73653.1, PHT75177.1, PHT75085.1, PHT75139.1, PHT73790.1, PHT75103.1, PHT75152.1, PHT61865.1, PHT77805.1, PHT60887.1, PHT77804.1, PHT77666.1, PHT73476.1, PHT73484.1, PHT73670.1, PHT60969.1, PHT73480.1, PHT75151.1, PHT70734.1, PHT73236.1, PHT73449.1, PHT73486.1, PHT73438.1, PHT73652.1, PHT75140.1, PHT60860.1, PHT73479.1, PHT73428.1, PHT73690.1, PHT61876.1, PHT67184.1, PHT62073.1, PHT73811.1, PHT82517.1, PHT67183.1, PHT70733.1, PHT73451.1, PHT73436.1, PHT61853.1, PHT73233.1, PHT73477.1, PHT73270.1, PHT73463.1, PHT77668.1, PHT61855.1, PHT61325.1, PHT75098.1, PHT61872.1, PHT73791.1, PHT75128.1, PHT73471.1, PHT77571.1, PHT75153.1, PHT75124.1, PHT73787.1, PHT57613.1, PHT62072.1, PHT61854.1, PHT73786.1, PHT61875.1, PHT73450.1, PHT73789.1, PHT73483.1, PHT73432.1, PHT73321.1, PHT73668.1, PHT82514.1, PHT75125.1, PHT73689.1, PHT73793.1, PHT73651.1, PHT73661.1, PHT60886.1, PHT44335.1, PHT61879.1, PHT75089.1, PHT75100.1, PHT75142.1, PHT61321.1, PHT73681.1, PHT73487.1, PHT83295.1, PHT73808.1, PHT73802.1, PHT73640.1, PHT73639.1, PHT61862.1, PHT73462.1, PHT73429.1, PHT73474.1, PHT73642.1, PHT75155.1, PHT73785.1, PHT73794.1	Solyc02g027080.2.1
OG0000003	PHT95017.1	Solyc07g019493.1.1, Solyc07g041755.1.1, Solyc04g150127.1.1, Solyc07g065845.1.1, Solyc09g011125.1.1, Solyc05g150138.1.1, Solyc10g050223.1.1, Solyc12g035192.1.1, Solyc03g119905.1.1, Solyc06g048683.1.1, Solyc07g041215.1.1, Solyc06g066853.1.1, Solyc02g062195.1.1, Solyc05g005265.1.1, Solyc12g036485.1.1, Solyc02g014035.1.1, Solyc10g084125.1.1, Solyc12g011233.1.1, Solyc02g062045.1.1, Solyc02g014547.1.1, Solyc09g065885.1.1, Solyc04g064805.1.1, Solyc04g049075.1.1, Solyc04g007855.1.1, Solyc08g068717.1.1, Solyc11g150112.1.1, Solyc10g038045.1.1, Solyc08g065705.1.1, Solyc03g025113.1.1, Solyc06g048575.1.1, Solyc08g075235.1.1, Solyc07g044985.1.1, Solyc03g083485.1.1, Solyc02g024045.1.1, Solyc08g062433.1.1, Solyc03g044664.1.1, Solyc01g067045.1.1, Solyc03g150108.1.1, Solyc10g008455.1.1, Solyc05g009275.1.1, Solyc03g031487.1.1, Solyc03g111705.1.1, Solyc01g079155.1.1, Solyc02g030461.1.1, Solyc03g044837.1.1, Solyc09g075965.1.1, Solyc01g106575.1.1, Solyc06g048713.1.1, Solyc08g074655.1.1, Solyc04g150146.1.1, Solyc12g042855.1.1, Solyc04g050865.1.1, Solyc06g060195.1.1, Solyc12g040642.1.1, Solyc01g057435.1.1, Solyc10g076415.1.1, Solyc09g015453.1.1, Solyc02g038723.1.1, Solyc00g500354.1.1, Solyc10g018203.1.1, Solyc00g500094.1.1, Solyc06g060735.1.1, Solyc11g150113.1.1, Solyc11g020475.1.1, Solyc09g056233.1.1, Solyc03g044024.1.1, Solyc11g018623.1.1, Solyc12g044435.1.1, Solyc07g052813.1.1, Solyc08g067025.1.1, Solyc07g042515.1.1, Solyc04g007295.1.1, Solyc02g150125.1.1, Solyc06g060105.1.1, Solyc08g062725.1.1, Solyc10g047653.1.1, Solyc08g067127.1.1, Solyc05g011883.1.1, Solyc09g011645.1.1, Solyc01g065625.1.1, Solyc07g043713.1.1, Solyc09g055995.1.1, Solyc12g038015.1.1, Solyc07g053035.1.1, Solyc04g054227.1.1, Solyc06g150112.1.1, Solyc12g062345.1.1, Solyc03g032215.1.1, Solyc10g018027.1.1, Solyc05g018245.1.1, Solyc10g012147.1.1, Solyc05g032735.1.1, Solyc11g018778.1.1, Solyc09g066327.1.1, Solyc06g066345.1.1, Solyc01g109125.1.1, Solyc10g012135.1.1, Solyc03g113035.1.1, Solyc09g059742.1.1, Solyc09g064245.1.1, Solyc05g015651.1.1, Solyc04g050675.1.1, Solyc11g032045.1.1, Solyc11g020785.1.1, Solyc12g011085.1.1, Solyc10g018325.1.1, Solyc11g150134.1.1, Solyc12g015927.1.1, Solyc07g045125.1.1, Solyc08g150116.1.1, Solyc03g098745.1.1, Solyc03g062835.1.1, Solyc06g035495.1.1, Solyc11g045125.1.1, Solyc08g068713.1.1, Solyc05g044555.1.1, Solyc09g074575.1.1, Solyc10g074475.1.1, Solyc01g108235.1.1, Solyc07g019625.1.1, Solyc10g076405.1.1, Solyc05g015493.1.1, Solyc03g150131.1.1, Solyc07g041683.1.1, Solyc06g082357.1.1, Solyc07g017225.1.1, Solyc06g082353.1.1, Solyc04g150114.1.1, Solyc07g041687.1.1, Solyc10g050517.1.1, Solyc10g048005.1.1, Solyc09g018285.1.1, Solyc03g034055.1.1, Solyc01g065987.1.1, Solyc04g054529.1.1, Solyc11g039765.1.1, Solyc11g044325.1.1, Solyc07g062715.1.1, Solyc09g083165.1.1, Solyc09g150145.1.1, Solyc03g044815.1.1, Solyc01g014377.1.1, Solyc02g062957.1.1, Solyc08g065543.1.1, Solyc02g014543.1.1, Solyc09g064645.1.1, Solyc10g074433.1.1, Solyc02g033035.1.1, Solyc11g007915.1.1, Solyc11g044327.1.1, Solyc04g054251.1.1, Solyc07g150134.1.1, Solyc09g064165.1.1, Solyc05g026485.1.1, Solyc12g088665.1.1, Solyc11g027895.1.1, Solyc01g066445.1.1, Solyc11g033286.1.1, Solyc04g073953.1.1, Solyc10g074824.1.1, Solyc09g150154.1.1, Solyc06g048825.1.1, Solyc12g010655.1.1, Solyc12g062855.1.1, Solyc10g050513.1.1, Solyc12g041895.1.1, Solyc09g015065.1.1, Solyc03g117845.1.1, Solyc11g012995.1.1, Solyc11g028105.1.1, Solyc04g071135.1.1, Solyc10g047657.1.1, Solyc03g044797.1.1, Solyc02g071383.1.1, Solyc05g016347.1.1, Solyc01g150141.1.1, Solyc01g009165.1.1, Solyc08g059655.1.1, Solyc09g066323.1.1, Solyc05g013613.1.1, Solyc06g034395.1.1, Solyc11g012815.1.1, Solyc05g013617.1.1, Solyc01g081455.1.1, Solyc01g067407.1.1, Solyc12g013935.1.1, Solyc11g056595.1.1, Solyc07g043685.1.1, Solyc06g053665.1.1, Solyc06g036255.1.1, Solyc12g017395.1.1, Solyc05g150149.1.1, Solyc09g014805.1.1, Solyc07g041465.1.1, Solyc10g047175.1.1, Solyc02g032663.1.1, Solyc01g014963.1.1, Solyc01g079615.1.1, Solyc01g020353.1.1, Solyc05g043243.1.1, Solyc05g050825.1.1, Solyc06g068857.1.1, Solyc10g017995.1.1, Solyc04g071803.1.1, Solyc04g071675.1.1, Solyc01g087015.1.1, Solyc09g098117.1.1, Solyc01g009975.1.1
OG0000007	PHT80923.1	Solyc08g068280.2.1
OG0000007	PHT83121.1, PHT73364.1, PHT80872.1, PHT78631.1, PHT76276.1, PHT86858.1, PHT69518.1, PHT85526.1, PHT62436.1, PHT83314.1, PHT81304.1, PHT66380.1, PHT92233.1, PHT87288.1, PHT73056.1, PHT69611.1, PHT67879.1, PHT81472.1, PHT86596.1, PHT95916.1, PHT63573.1, PHT66685.1, PHT87260.1, PHT85024.1, PHT84456.1, PHT81209.1, PHT87585.1, PHT82215.1, PHT81166.1, PHT86069.1, PHT89512.1, PHT60980.1, PHT42122.1, PHT67707.1, PHT67473.1, PHT81866.1, PHT72037.1, PHT78233.1, PHT78616.1, PHT89086.1, PHT82772.1, PHT71221.1, PHT84303.1, PHT75466.1, PHT92423.1, PHT82659.1, PHT63941.1, PHT70543.1, PHT93429.1, PHT63004.1, PHT87799.1, PHT93294.1, PHT66194.1, PHT70243.1, PHT74646.1, PHT89604.1, PHT87113.1, PHT69817.1, PHT92931.1, PHT84892.1, PHT86885.1, PHT89709.1, PHT93762.1, PHT74157.1, PHT95258.1, PHT83937.1, PHT84341.1, PHT80724.1, PHT76524.1, PHT84037.1, PHT76440.1, PHT62014.1, PHT65810.1, PHT92084.1, PHT83444.1, PHT74256.1, PHT86819.1, PHT76705.1, PHT85101.1, PHT78844.1, PHT86238.1, PHT93287.1, PHT90715.1, PHT66597.1, PHT85102.1, PHT82206.1, PHT69878.1, PHT65807.1, PHT69058.1, PHT72696.1, PHT76704.1, PHT89514.1, PHT91079.1, PHT82116.1, PHT76691.1, PHT76692.1, PHT81825.1, PHT83930.1, PHT81111.1, PHT95992.1, PHT79468.1, PHT77268.1, PHT93793.1, PHT85626.1, PHT71051.1, PHT71358.1, PHT82800.1, PHT78997.1, PHT83874.1, PHT93142.1, PHT65045.1, PHT81870.1, PHT79407.1, PHT67584.1, PHT66123.1, PHT83761.1, PHT79664.1, PHT85726.1, PHT93973.1, PHT89022.1, PHT74966.1	Solyc01g097780.1.1
OG0000013	PHT68982.1	Solyc11g071390.1.1
